provincia,mes,porcentaje,casos,id
Las Palmas,3,0.894,1756,35
Girona,3,0.913,2219,17
Granada,3,0.951,1246,18
Guadalajara,3,0.919,425,19
Huelva,3,0.951,1089,21
Huesca,3,0.936,573,22
Jaén,3,0.951,673,23
Lleida,3,0.913,1262,25
León,3,0.949,447,24
La Rioja,3,0.955,499,26
Lugo,3,0.965,656,27
Madrid,3,0.931,13164,28
Málaga,3,0.951,2913,29
Murcia,3,0.948,2917,30
Navarra,3,0.939,1181,31
Asturias,3,0.96,562,33
Ourense,3,0.965,426,32
Palencia,3,0.949,228,34
Islas Baleares,3,0.885,2790,07
Pontevedra,3,0.965,924,36
Cantabria,3,0.955,1458,39
Salamanca,3,0.949,457,37
Sevilla,3,0.951,3521,41
Segovia,3,0.949,169,40
Soria,3,0.949,105,42
Gipuzkoa,3,0.945,1799,20
Tarragona,3,0.913,1469,43
Teruel,3,0.936,354,44
Santa Cruz de Tenerife,3,0.885,1293,38
Toledo,3,0.919,1907,45
Valencia,3,0.943,2934,46
Valladolid,3,0.949,644,47
Álava,3,0.945,671,01
Zaragoza,3,0.936,2256,50
Zamora,3,0.949,154,49
Ceuta,3,0,0,51
Melilla,3,0,0,52
Bizkaia,3,0,0,48
